Net generation from coal for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.COL.H
19:18:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.COL.H megawatthours
10/13/2021 21H,8875
10/13/2021 20H,8836
10/13/2021 19H,8819
10/13/2021 18H,8971
10/13/2021 17H,9206
10/13/2021 16H,9471
10/13/2021 15H,10077
10/13/2021 14H,10716
10/13/2021 13H,10501
10/13/2021 12H,9663
10/13/2021 11H,9415
10/13/2021 10H,9234
10/13/2021 09H,9162
10/13/2021 08H,9219
10/13/2021 07H,9342
10/13/2021 06H,9206
10/13/2021 05H,9475
10/13/2021 04H,9790
10/13/2021 03H,10124
10/13/2021 02H,10354
10/13/2021 01H,10582
10/13/2021 00H,10551
10/12/2021 23H,10597
10/12/2021 22H,10346
10/12/2021 21H,9838
10/12/2021 20H,9738
10/12/2021 19H,9555
10/12/2021 18H,9640
10/12/2021 17H,9992
10/12/2021 16H,9757
10/12/2021 15H,9803
10/12/2021 14H,10033
10/12/2021 13H,9845
10/12/2021 12H,9584
10/12/2021 11H,9258
10/12/2021 10H,9111
10/12/2021 09H,9071
10/12/2021 08H,9109
10/12/2021 07H,9376
10/12/2021 06H,9869
10/12/2021 05H,9978
10/12/2021 04H,10085
10/12/2021 03H,10104
10/12/2021 02H,10300
10/12/2021 01H,10779
10/12/2021 00H,10668
10/11/2021 23H,10303
10/11/2021 22H,9867
10/11/2021 21H,9682
10/11/2021 20H,9652
10/11/2021 19H,10523
10/11/2021 18H,11204
10/11/2021 17H,11389
10/11/2021 16H,11620
10/11/2021 15H,11815
10/11/2021 14H,12053
10/11/2021 13H,12058
10/11/2021 12H,11840
10/11/2021 11H,11408
10/11/2021 10H,10818
10/11/2021 09H,10767
10/11/2021 08H,10654
10/11/2021 07H,10722
10/11/2021 06H,10819
10/11/2021 05H,11271
10/11/2021 04H,11730
10/11/2021 03H,12101
10/11/2021 02H,12150
10/11/2021 01H,11692
10/11/2021 00H,10402
10/10/2021 23H,9338
10/10/2021 22H,8995
10/10/2021 21H,8048
10/10/2021 20H,7942
10/10/2021 19H,7863
10/10/2021 18H,8089
10/10/2021 17H,8382
10/10/2021 16H,8976
10/10/2021 15H,9834
10/10/2021 14H,10178
10/10/2021 13H,9932
10/10/2021 12H,9652
10/10/2021 11H,9533
10/10/2021 10H,9616
10/10/2021 09H,9729
10/10/2021 08H,9952
10/10/2021 07H,9880
10/10/2021 06H,10026
10/10/2021 05H,10063
10/10/2021 04H,10015
10/10/2021 03H,9689
10/10/2021 02H,9594
10/10/2021 01H,9206
10/10/2021 00H,8837
10/9/2021 23H,8563
10/9/2021 22H,8230
10/9/2021 21H,8074
10/9/2021 20H,7959
10/9/2021 19H,8184
10/9/2021 18H,8350
10/9/2021 17H,8250
10/9/2021 16H,8737
10/9/2021 15H,9323
10/9/2021 14H,9821
10/9/2021 13H,9707
10/9/2021 12H,9735
10/9/2021 11H,9801
10/9/2021 10H,9905
10/9/2021 09H,9936
10/9/2021 08H,9768
10/9/2021 07H,9755
10/9/2021 06H,9857
10/9/2021 05H,9682
10/9/2021 04H,10123
10/9/2021 03H,10583
10/9/2021 02H,10728
10/9/2021 01H,10955
10/9/2021 00H,10722
10/8/2021 23H,10686
10/8/2021 22H,10949
10/8/2021 21H,10973
10/8/2021 20H,11216
10/8/2021 19H,11281
10/8/2021 18H,11365
10/8/2021 17H,11388
10/8/2021 16H,11522
10/8/2021 15H,11741
10/8/2021 14H,11859
10/8/2021 13H,11849
10/8/2021 12H,11568
10/8/2021 11H,10913
10/8/2021 10H,10601
10/8/2021 09H,10535
10/8/2021 08H,10734
10/8/2021 07H,10991
