Net generation from nuclear for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NUC.H
19:20:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NUC.H megawatthours
10/15/2021 03H,5903
10/15/2021 02H,5906
10/15/2021 01H,5897
10/15/2021 00H,5899
10/14/2021 23H,5897
10/14/2021 22H,5897
10/14/2021 21H,5900
10/14/2021 20H,5899
10/14/2021 19H,5900
10/14/2021 18H,5903
10/14/2021 17H,5901
10/14/2021 16H,5916
10/14/2021 15H,5921
10/14/2021 14H,5946
10/14/2021 13H,5953
10/14/2021 12H,5941
10/14/2021 11H,5948
10/14/2021 10H,5938
10/14/2021 09H,5943
10/14/2021 08H,5942
10/14/2021 07H,5935
10/14/2021 06H,5933
10/14/2021 05H,5926
10/14/2021 04H,5926
10/14/2021 03H,5913
10/14/2021 02H,5922
10/14/2021 01H,5912
10/14/2021 00H,5910
10/13/2021 23H,5906
10/13/2021 22H,5913
10/13/2021 21H,5905
10/13/2021 20H,5909
10/13/2021 19H,5913
10/13/2021 18H,5915
10/13/2021 17H,5923
10/13/2021 16H,5926
10/13/2021 15H,5938
10/13/2021 14H,5951
10/13/2021 13H,5961
10/13/2021 12H,5953
10/13/2021 11H,5954
10/13/2021 10H,5952
10/13/2021 09H,5959
10/13/2021 08H,5945
10/13/2021 07H,5939
10/13/2021 06H,5944
10/13/2021 05H,5937
10/13/2021 04H,5928
10/13/2021 03H,5929
10/13/2021 02H,5927
10/13/2021 01H,5920
10/13/2021 00H,5918
10/12/2021 23H,5912
10/12/2021 22H,5917
10/12/2021 21H,5921
10/12/2021 20H,5916
10/12/2021 19H,5919
10/12/2021 18H,5919
10/12/2021 17H,5919
10/12/2021 16H,5919
10/12/2021 15H,5930
10/12/2021 14H,5941
10/12/2021 13H,5958
10/12/2021 12H,5951
10/12/2021 11H,5948
10/12/2021 10H,5948
10/12/2021 09H,5943
10/12/2021 08H,5939
10/12/2021 07H,5938
10/12/2021 06H,5931
10/12/2021 05H,5929
10/12/2021 04H,5919
10/12/2021 03H,5920
10/12/2021 02H,5912
10/12/2021 01H,5918
10/12/2021 00H,5914
10/11/2021 23H,5916
10/11/2021 22H,5914
10/11/2021 21H,5919
10/11/2021 20H,5920
10/11/2021 19H,5919
10/11/2021 18H,5915
10/11/2021 17H,5915
10/11/2021 16H,5919
10/11/2021 15H,5934
10/11/2021 14H,5946
10/11/2021 13H,5940
10/11/2021 12H,5935
10/11/2021 11H,5940
10/11/2021 10H,5938
10/11/2021 09H,5940
10/11/2021 08H,5932
10/11/2021 07H,5921
10/11/2021 06H,5920
10/11/2021 05H,5918
10/11/2021 04H,5904
10/11/2021 03H,5857
10/11/2021 02H,5785
10/11/2021 01H,5790
10/11/2021 00H,5903
10/10/2021 23H,5895
10/10/2021 22H,5900
10/10/2021 21H,5903
10/10/2021 20H,5899
10/10/2021 19H,5906
10/10/2021 18H,5901
10/10/2021 17H,5885
10/10/2021 16H,5875
10/10/2021 15H,5857
10/10/2021 14H,5845
10/10/2021 13H,5840
10/10/2021 12H,5835
10/10/2021 11H,5833
10/10/2021 10H,5834
10/10/2021 09H,5825
10/10/2021 08H,5828
10/10/2021 07H,5822
10/10/2021 06H,5819
10/10/2021 05H,5808
10/10/2021 04H,5817
10/10/2021 03H,5792
10/10/2021 02H,5765
10/10/2021 01H,5724
10/10/2021 00H,5698
10/9/2021 23H,5656
10/9/2021 22H,5633
10/9/2021 21H,5621
10/9/2021 20H,5612
10/9/2021 19H,5573
10/9/2021 18H,5539
10/9/2021 17H,5500
10/9/2021 16H,5468
10/9/2021 15H,5445
10/9/2021 14H,5469
10/9/2021 13H,5466
10/9/2021 12H,5459
10/9/2021 11H,5404
10/9/2021 10H,5375
10/9/2021 09H,5336
10/9/2021 08H,5297
10/9/2021 07H,5269
10/9/2021 06H,5231
10/9/2021 05H,5212
10/9/2021 04H,5215
10/9/2021 03H,5208
10/9/2021 02H,5211
10/9/2021 01H,5211
10/9/2021 00H,5197
10/8/2021 23H,5210
10/8/2021 22H,5209
10/8/2021 21H,5200
10/8/2021 20H,5194
10/8/2021 19H,5194
10/8/2021 18H,5194
10/8/2021 17H,5194
10/8/2021 16H,5199
10/8/2021 15H,5197
10/8/2021 14H,5194
10/8/2021 13H,5196
10/8/2021 12H,5175
10/8/2021 11H,5174
10/8/2021 10H,5176
10/8/2021 09H,5139
10/8/2021 08H,5148
10/8/2021 07H,5140
