Net generation from natural gas for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.NG.H
19:15:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.NG.H megawatthours
10/28/2021 06H,4916
10/28/2021 05H,4854
10/28/2021 04H,5201
10/28/2021 03H,6237
10/28/2021 02H,7095
10/28/2021 01H,7530
10/28/2021 00H,7641
10/27/2021 23H,7635
10/27/2021 22H,7629
10/27/2021 21H,7533
10/27/2021 20H,7329
10/27/2021 19H,7327
10/27/2021 18H,7543
10/27/2021 17H,7681
10/27/2021 16H,7640
10/27/2021 15H,7466
10/27/2021 14H,7221
10/27/2021 13H,6761
10/27/2021 12H,6739
10/27/2021 11H,6101
10/27/2021 10H,5154
10/27/2021 09H,4738
10/27/2021 08H,4687
10/27/2021 07H,4734
10/27/2021 06H,4837
10/27/2021 05H,5044
10/27/2021 04H,5530
10/27/2021 03H,5998
10/27/2021 02H,0
10/27/2021 01H,7654
10/27/2021 00H,8076
10/26/2021 23H,8289
10/26/2021 22H,8476
10/26/2021 21H,8145
10/26/2021 20H,8075
10/26/2021 19H,7869
10/26/2021 18H,8019
10/26/2021 17H,8078
10/26/2021 16H,7847
10/26/2021 15H,7959
10/26/2021 14H,8010
10/26/2021 13H,7856
10/26/2021 12H,7632
10/26/2021 11H,6735
10/26/2021 10H,5578
10/26/2021 09H,5042
10/26/2021 08H,4834
10/26/2021 07H,5181
10/26/2021 06H,5471
10/26/2021 05H,5556
10/26/2021 04H,5867
10/26/2021 03H,6625
10/26/2021 02H,7909
10/26/2021 01H,8716
10/26/2021 00H,8791
10/25/2021 23H,8549
