Net generation from wind for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.WND.H
19:16:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.WND.H megawatthours
10/9/2021 10H,192
10/9/2021 09H,203
10/9/2021 08H,217
10/9/2021 07H,237
10/9/2021 06H,306
10/9/2021 05H,412
10/9/2021 04H,381
10/9/2021 03H,385
10/9/2021 02H,420
10/9/2021 01H,425
10/9/2021 00H,383
10/8/2021 23H,289
10/8/2021 22H,151
10/8/2021 21H,119
10/8/2021 20H,87
10/8/2021 19H,73
10/8/2021 18H,88
10/8/2021 17H,103
10/8/2021 16H,123
10/8/2021 15H,159
10/8/2021 14H,193
10/8/2021 13H,283
10/8/2021 12H,348
10/8/2021 11H,362
10/8/2021 10H,397
10/8/2021 09H,454
10/8/2021 08H,497
10/8/2021 07H,475
10/8/2021 06H,514
10/8/2021 05H,512
10/8/2021 04H,551
10/8/2021 03H,513
10/8/2021 02H,421
10/8/2021 01H,317
10/8/2021 00H,229
10/7/2021 23H,160
10/7/2021 22H,91
10/7/2021 21H,73
10/7/2021 20H,71
10/7/2021 19H,61
10/7/2021 18H,52
10/7/2021 17H,43
10/7/2021 16H,29
10/7/2021 15H,27
10/7/2021 14H,29
10/7/2021 13H,32
10/7/2021 12H,32
10/7/2021 11H,35
10/7/2021 10H,39
10/7/2021 09H,60
10/7/2021 08H,64
10/7/2021 07H,63
10/7/2021 06H,92
10/7/2021 05H,120
10/7/2021 04H,113
10/7/2021 03H,102
10/7/2021 02H,134
10/7/2021 01H,132
10/7/2021 00H,102
10/6/2021 23H,78
10/6/2021 22H,67
10/6/2021 21H,63
10/6/2021 20H,61
10/6/2021 19H,49
10/6/2021 18H,36
10/6/2021 17H,37
10/6/2021 16H,53
10/6/2021 15H,69
10/6/2021 14H,108
10/6/2021 13H,171
10/6/2021 12H,191
10/6/2021 11H,190
10/6/2021 10H,200
10/6/2021 09H,154
10/6/2021 08H,128
10/6/2021 07H,134
10/6/2021 06H,119
10/6/2021 05H,105
10/6/2021 04H,104
10/6/2021 03H,79
10/6/2021 02H,56
10/6/2021 01H,50
10/6/2021 00H,40
10/5/2021 23H,32
10/5/2021 22H,32
10/5/2021 21H,29
10/5/2021 20H,31
10/5/2021 19H,33
10/5/2021 18H,31
10/5/2021 17H,33
10/5/2021 16H,34
10/5/2021 15H,45
10/5/2021 14H,56
10/5/2021 13H,55
10/5/2021 12H,59
10/5/2021 11H,59
10/5/2021 10H,64
10/5/2021 09H,71
10/5/2021 08H,81
10/5/2021 07H,99
10/5/2021 06H,115
10/5/2021 05H,132
10/5/2021 04H,143
10/5/2021 03H,140
10/5/2021 02H,142
10/5/2021 01H,141
10/5/2021 00H,147
